Fund Name:;State Street® SPDR® S&P® Biotech ETF;;;;;;;;;;
Ticker Symbol:;XBI;;;;;;;;;;
Holdings:;As of 01-Jul-2026;;;;;;;;;;
;;;;;;;;;;;
Name;Ticker;Identifier;SEDOL;Weight;Sector;Shares Held;Local Currency;;;;
BRIDGEBIO ONCOLOGY THERAPEUT;BBOT;107924102;BTXNNP4;0,059743;-;816311,000;USD;;;;
SSI US GOV MONEY MARKET CLASS;-;924QSGII3;-;0,040468;-;4312895,700;USD;;;;
CONTRA AKERO THERAPEUT;-;009CVR044;-;0,012405;-;2033975,000;USD;;;;
CONTRA INHIBRX INC;-;457CVR017;-;0,010039;-;1645973,000;USD;;;;
CONTRA MIRATI THERAPEU;-;604CVR027;-;0,008995;-;1369552,000;USD;;;;
CONTRA VERVE THERAPEUT;-;925CVR011;-;0,005322;-;900273,000;USD;;;;
CONTRA BLUEPRINT MEDIC;-;096CVR048;-;0,003265;-;756469,000;USD;;;;
US DOLLAR;-;999USDZ92;-;0,000017;-;1761,490;USD;;;;
ATRIUM THERAPEUTICS INC;RNA;04965N104;BVPN4Z3;0,000000;-;0,500;USD;;;;
OMNIAB INC   12.5 EARNOUT;2200963D;68218J202;BP0VHM8;0,000000;-;161959,000;USD;;;;
OMNIAB INC   15.00 EARNOUT;2200964D;68218J301;BP0VHL7;0,000000;-;161959,000;USD;;;;
;;;;;;;;;;;
;;;;;;;;;;;
State Street Global Advisors (SSGA) is now State Street Investment Management. Please click here for more information.;;;;;;;;;;;
;;;;;;;;;;;
Past performance is not a reliable indicator of future performance. Investment return and principal value will fluctuate, so you may have a gain or loss when shares are sold. Current performance may be higher or lower than that quoted. All results are historical and assume the reinvestment of dividends and capital gains. Visit www.ssga.com for most recent month-end performance. ;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Portfolio holdings, allocations and weightings are as of the date indicated, are subject to change and should not be considered a recommendation to buy individual securities. For most recent information visit www.ssga.com.;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
